Step,l_g_gan,l_g_pix,l_g_percep,l_d_real,l_d_fake,out_d_fake,out_d_real,,,,
4400,0.02367124,0.001140715,1.424233913,0.006551648,0.006583862,-2.717748165,2.003364086,,,,
4500,0.004549573,0.001291837,1.500690937,0.807970822,0.808378994,17.9735508,17.26711655,,,,
4600,0.032251857,0.001037141,1.282254338,0.001003279,0.001076334,-69.40466309,-62.95636749,,,,
4700,0.011857922,0.001028127,1.388416409,0.207928807,0.205592871,-65.58306122,-63.625,,,,
4800,0.035680052,0.001200162,1.391788363,0.000489469,0.000481889,-21.96908951,-14.83404922,,,,
4900,0.018237643,0.001017105,1.407414436,0.016072579,0.015414037,-47.63446808,-44.0184288,,,,
5000,0.025550663,0.000986414,1.306913853,0.006323757,0.006350892,-43.78236771,-38.68490982,,,,
5100,0.005764534,0.000970483,1.371731043,0.206813365,0.204772696,-25.28612137,-24.54480171,,,,
5200,0.011803677,0.000966177,1.398233891,0.189129904,0.19513008,-31.69439507,-29.7179203,,,,
5300,0.025010869,0.001088412,1.263810396,0.003490738,0.003447487,-29.43326187,-24.43802643,,,,
5400,0.009512219,0.001085752,1.414572477,0.109513626,0.112561926,-1.03943944,0.640928984,,,,
5500,0.069040313,0.001217734,1.474408269,9.47E-06,2.83E-06,-69.89185333,-56.08380127,,,,
5600,0.021807374,0.001001862,1.461592078,0.009013809,0.008500503,-13.11857605,-8.774615288,,,,
5700,0.031278197,0.001136599,1.439126968,0.01451933,0.01461817,-60.68439865,-54.45789337,,,,
5800,0.024692539,0.001048793,1.431171894,0.003894495,0.004006195,-9.089355469,-4.158748627,,,,
5900,0.027557172,0.001123489,1.473859787,0.003339635,0.003110302,-36.46193695,-30.95695114,,,,
6000,0.021215077,0.000917937,1.315865993,0.010549588,0.010928273,1.018640876,5.240178108,,,,
6100,0.0362648,0.001135193,1.351075411,0.000456519,0.000434605,-39.77324295,-32.52117157,,,,
6200,0.038175363,0.001042729,1.303747416,0.014919649,0.016073335,-20.21509361,-12.61101341,,,,
