,0
507,0.54042244
508,0.8122175
509,0.68193585
510,0.68214387
511,0.7891518
512,0.6275055
513,0.5304002
514,0.59776
515,0.6007999
516,0.515004
517,0.8386536
518,0.46057346
519,0.8222498
520,0.25818735
521,0.73879784
522,0.8130129
523,0.7844003
524,0.7195415
525,0.91891456
526,0.9889627
527,0.74234056
528,0.85772985
529,0.8870682
530,0.7708831
531,0.9398523
532,0.79596156
533,0.74913657
534,0.35796884
535,0.5359649
536,0.6407235
537,0.63337475
538,0.35193378
539,0.27386034
540,0.5790646
541,0.6817062
542,0.602914
543,0.7736454
544,0.8119864
545,0.7110333
546,0.8351489
547,0.5886691
548,0.62447554
549,0.8844454
550,0.56983864
551,0.93773395
552,0.24529722
553,0.610586
554,1.0421546
555,0.91023076
556,1.0205455
557,0.7610037
558,0.8536978
559,0.66695
560,0.6462899
561,0.48329917
562,0.751607
563,1.0787911
564,0.8349333
565,0.5195525
566,0.44365793
567,0.36637774
568,0.5337088
569,0.6049238
570,0.73976445
571,0.53508675
572,0.47321028
573,0.6217658
574,0.8151504
575,0.85825974
576,0.72192144
577,0.59359276
578,0.6305401
579,0.49310547
580,0.85014576
581,1.0038265
582,0.7125323
583,0.74104774
584,0.8188533
585,1.3152324
586,0.8621593
587,0.82679063
588,0.95267445
589,0.77952343
590,0.7265607
591,0.8601695
592,0.73358893
593,0.8708427
594,0.7709945
595,0.8286619
596,0.7145174
597,0.835423
598,0.7479197
599,0.6275667
600,0.45024988
601,0.41264012
602,0.4328761
603,0.73576146
604,0.6862771
605,0.30509683
606,0.14777826
607,1.0060616
608,0.83420515
609,0.7148799
610,0.7995495
611,0.65453064
612,0.8024048
613,1.2313095
614,0.70711726
615,0.7715092
616,0.76305366
617,0.7246946
618,0.8124077
619,0.7424635
620,0.6709486
621,0.8251161
622,0.91542286
623,0.73966753
624,0.8786942
625,0.7033256
626,0.6832662
627,0.67672265
628,0.6452962
629,0.76346153
630,0.78788495
631,0.6591607
632,0.7874697
633,0.3060614
634,0.4405613
635,0.9508246
636,0.6183713
637,0.6584369
638,0.87892926
639,0.674043
640,0.73850816
641,0.6996286
642,0.7687999
643,0.84326404
644,0.84735304
645,1.0331925
646,0.848765
647,0.6641682
648,0.71455616
649,1.1160257
650,0.97675353
651,0.7659439
652,0.8594394
653,0.8277386
654,0.8035879
655,0.89855075
656,0.85055906
657,0.8004544
658,0.80365294
659,0.6511144
660,0.6451392
661,0.28279155
662,1.0706699
663,0.8143261
664,0.85825825
665,0.93113035
666,0.64045507
667,0.709123
668,0.75516164
669,0.90143275
670,1.0597465
671,0.88058454
672,0.82182837
673,0.7916069
674,0.69149405
675,0.65119684
676,0.7873466
677,0.69537085
678,0.97875404
679,0.9745722
680,0.8011689
681,0.75372607
682,0.7632434
683,0.76899886
684,0.5935928
685,0.49543124
686,1.090127
687,0.82895505
688,1.1595454
689,0.8350466
690,0.84673095
691,0.9427736
692,0.9429634
693,0.9554048
694,0.675
695,0.093959734
696,0.8954276
697,1.076874
698,1.7433367
699,1.1844506
700,0.9998503
701,1.2071985
702,0.9532614
703,1.162846
704,0.8843153
705,0.6593094
706,0.745679
707,0.8555294
708,0.72533655
709,0.81882936
710,0.6159204
711,1.1185658
712,1.2571168
713,1.2187228
714,1.0528837
715,1.0892944
716,1.0917103
717,1.3402969
718,1.081895
719,1.3705344
720,0.9734497
721,0.8169491
722,0.802974
723,0.59194803
724,0.48801523
725,0.5412103
726,0.6131461
727,0.58676183
728,0.68280524
729,0.75096714
730,0.49656144
731,0.46427512
732,0.8109293
733,1.266622
734,0.7612376
735,0.7606321
736,0.9168412
737,0.78532606
738,0.7441605
739,0.98909885
740,0.8202777
741,0.9828816
742,1.4350531
743,1.0289621
744,0.5721903
745,0.78883827
746,0.86156476
747,0.66574657
748,0.73722863
749,0.96278626
750,0.30954102
751,0.48859692
752,0.96076536
753,0.80239683
754,0.85069007
755,1.2878927
756,0.918942
757,0.8359856
758,0.55025184
759,0.89530015
760,0.68320525
761,1.2998575
762,1.0459394
763,1.0434707
764,0.5054356
765,0.48315305
766,0.6841418
767,0.848626
768,1.1072391
769,1.0309125
770,0.8355172
771,0.20451732
772,0.17064413
773,0.06495098
774,0.49270147
775,0.51841927
776,0.80492467
777,0.68399245
778,0.4293578
779,0.99924415
780,0.68781406
781,1.392562
782,0.8143712
783,0.95452857
784,1.090219
785,0.8701907
786,0.78653115
787,0.6866513
788,0.68396044
789,0.88775116
790,0.8627451
791,1.0537508
792,0.96997
793,0.47734028
794,0.37939003
795,0.26555246
796,0.6168273
797,0.5933479
798,0.5831974
799,0.5549533
800,0.9803673
801,0.7662138
802,0.5644505
803,1.0549451
804,1.1588367
805,0.65512335
806,0.9809568
807,1.0233036
808,0.73494476
809,0.32474443
810,0.70270526
811,0.88634706
812,1.0418082
813,0.6990476
814,0.24705015
815,0.54219306
816,0.4841321
817,0.663408
818,0.81613135
819,0.5876457
820,0.8832151
821,0.49631676
822,0.49644268
823,1.9482577
824,0.5795918
825,0.8167969
826,0.82095426
827,0.49043432
828,0.70791584
829,0.54387933
830,0.92161846
831,0.8697115
832,0.86649173
833,0.3758451
834,0.49479485
835,0.71173185
836,0.5861277
837,0.8496538
838,0.7193361
839,0.8433544
840,1.0511111
841,0.38476855
842,1.0710008
843,0.8983711
844,0.88641304
845,0.46782008
846,0.86346704
847,0.9551145
848,0.87229437
849,0.9222222
850,0.83196867
851,0.5493562
852,0.104166664
853,0.32853186
854,0.41306677
855,0.17463169
856,0.5129473
