,Loc ID,Accuracy,n_in,n_out,n_gt
70,9063200_5680400,0.07575757575757576,5,61,70
71,9059200_5691600,0.0684931506849315,5,68,277
72,8332800_5494000,0.015625,1,63,174
73,8490400_5775600,0.08547008547008547,10,107,374
74,9067600_5688400,0.0,0,1,4
75,9066800_5684000,0.2,1,4,7
76,8334800_5494800,0.0,0,4,1
77,8492800_5776800,0.09322033898305085,11,107,292
78,8371200_5550800,0.0,0,43,1
79,9370800_5522800,0.13402061855670103,13,84,119
80,8290000_5498000,0.10416666666666667,10,86,264
81,9054400_5681200,0.0,0,13,54
82,8287600_5497200,0.11504424778761062,13,100,337
83,9154800_5812000,0.12631578947368421,12,83,481
84,9368000_5530000,0.05434782608695652,5,87,107
85,9378800_5528400,0.0,0,16,41
86,9372000_5528800,0.07692307692307693,3,36,112
87,8818000_5996000,0.14516129032258066,9,53,146
88,9061600_5680400,0.056179775280898875,5,84,181
89,8491200_5768400,0.05925925925925926,8,127,51
90,8591600_5541200,0.22900763358778625,30,101,324
91,8492400_5768400,0.1342281879194631,20,129,173
92,8337600_5491600,0.0,0,66,10
93,8953600_5840000,0.09090909090909091,2,20,53
94,9602400_6071200,0.11290322580645161,14,110,171
95,8336800_5494400,0.04716981132075472,5,101,50
96,9150000_5816800,0.1,1,9,273
97,8369600_5550800,0.061946902654867256,7,106,40
98,9063600_5690400,0.034482758620689655,1,28,22
99,9072000_5681600,0.4,2,3,14
100,9072400_5682000,0.053763440860215055,5,88,327
101,9285200_5870800,0.0,0,0,167
102,9064400_5682000,0.1103448275862069,16,129,95
103,9156800_5812800,0.0,0,33,5
104,9158400_5819600,0.0,0,0,70
105,9272800_5675600,0.07058823529411765,6,79,192
106,9299200_5558800,0.0,0,21,90
107,9146000_5816400,0.058823529411764705,3,48,285
108,8368000_5550800,0.007936507936507936,1,125,7
109,8337200_5490800,0.0,0,95,12
110,9369200_5528400,0.10714285714285714,6,50,60
111,9062800_5678800,0.0,0,5,5
112,8369600_5549200,0.0,0,59,12
113,9366400_5522000,0.28695652173913044,33,82,33
114,9374000_5521200,0.01694915254237288,1,58,175
115,8333200_5493200,0.0,0,102,10
116,9265600_5670000,0.03896103896103896,3,74,310
117,8336000_5491200,0.0707070707070707,7,92,163
118,9294800_5562800,0.04285714285714286,3,67,363
119,8495600_5778800,0.12903225806451613,16,108,387
120,9364000_5521600,0.17073170731707318,7,34,13
121,9153200_5816800,0.3209302325581395,69,146,59
122,8600000_5537200,0.10778443113772455,18,149,370
123,9066000_5686400,0.13043478260869565,3,20,45
124,9054800_5686400,0.0625,1,15,11
125,8489200_5771600,0.0,0,4,12
126,8492000_5771600,0.14285714285714285,13,78,212
127,8490800_5776000,0.15217391304347827,7,39,215
128,8816800_5993200,0.08333333333333333,3,33,119
129,9063200_5677600,0.08333333333333333,2,22,121
130,8503600_5771600,0.05982905982905983,7,110,577
131,9064400_5679600,0.37735849056603776,20,33,51
132,8490400_5768800,0.12650602409638553,21,145,229
133,9299600_5562400,0.0,0,41,1
134,8493600_5774800,0.08759124087591241,12,125,546
135,8289200_5496000,0.0958904109589041,14,132,101
136,8507600_5763200,0.05172413793103448,3,55,117
137,9610400_6072000,0.0,0,0,19
138,9299200_5561200,0.5714285714285714,16,12,6
139,8370000_5549200,0.007407407407407408,1,134,12
140,9065200_5684800,0.0,0,17,33
141,9066400_5682800,0.06382978723404255,3,44,129
142,9148400_5814800,0.05154639175257732,5,92,217
143,8337600_5493200,0.0,0,116,16
144,8495200_5770800,0.5,73,73,477
145,9149600_5820000,0.0392156862745098,2,49,437
146,8494800_5780000,0.1,16,144,380
147,8496800_5764400,0.07142857142857142,6,78,430
148,8587200_5539600,0.18803418803418803,22,95,395
149,8287200_5497600,0.07633587786259542,10,121,355
150,9291600_5556800,0.042735042735042736,5,112,97
151,8815200_5996000,0.12307692307692308,8,57,126
